tax_code,node_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0110005184,COMPANY::0110005184,0.14508055,0.16049303,0.029380677,0.03214721,0.08251282,0.072483085,-0.10193899,0.06582143,-0.07271226,-0.20183766,-0.17785339,-0.077643804,0.05065113,0.005960494,0.014809422,-0.07308583,-0.27575484,-0.08939971,-0.16768955,-0.21999279,-0.25365922,0.16573313,-0.22378008,0.28852054,-0.2852183,0.252379,-0.3115894,0.101115316,0.07792641,0.16816631,-0.21153015,0.3398924
0402149673,COMPANY::0402149673,0.15625195,0.17874621,0.035479803,0.024147065,0.058520485,0.06496254,-0.07915433,0.056397125,-0.055694774,-0.18625213,-0.21559024,-0.067731544,0.029660169,-0.0073876483,0.042515386,-0.0661342,-0.26270232,-0.0925177,-0.13973984,-0.21047978,-0.28548303,0.17733555,-0.17146298,0.28521913,-0.31360036,0.23593476,-0.2875381,0.12119518,0.11998155,0.16602243,-0.21393508,0.35288134
6001740223,COMPANY::6001740223,0.12908126,0.15877633,0.027947119,0.024490299,0.052859943,0.054681618,-0.07290692,0.04775601,-0.057797045,-0.16343065,-0.1702082,-0.055004105,0.03407146,-0.014749145,0.034649942,-0.061916623,-0.2893323,-0.098357104,-0.16778797,-0.24391438,-0.28223166,0.15962596,-0.19475707,0.29342744,-0.31424606,0.23557433,-0.2959023,0.13550128,0.10683938,0.1691031,-0.17288138,0.3669404
0402149698,COMPANY::0402149698,0.15634556,0.21926033,0.0429085,0.026679358,0.05401401,0.05772137,-0.089331836,0.06363458,-0.053851586,-0.20654246,-0.22834177,-0.06562612,0.04905419,-0.015956588,0.045002624,-0.080614455,-0.2683828,-0.12480383,-0.092102565,-0.2338369,-0.28045404,0.13783412,-0.16379917,0.2803058,-0.26005244,0.24548171,-0.31916368,0.0639846,0.10984025,0.19483949,-0.216725,0.32983428
0317306188,COMPANY::0317306188,0.15761386,0.1899277,0.031106325,0.022794176,0.07691137,0.066018015,-0.1054962,0.048329875,-0.07050156,-0.20231298,-0.21589135,-0.09223156,0.076129645,0.0070999265,0.03316642,-0.06267866,-0.25591218,-0.09652416,-0.14594841,-0.22777379,-0.24714842,0.17624837,-0.2324474,0.27506077,-0.27270833,0.27431926,-0.2795819,0.0803806,0.09528856,0.18678463,-0.18234532,0.34738395
0317306300,COMPANY::0317306300,0.14352322,0.16823633,0.029098747,0.022977939,0.07000741,0.060714368,-0.08046977,0.05323634,-0.06377891,-0.19272624,-0.21564014,-0.08400795,0.057965863,0.0031599328,0.02520977,-0.04870286,-0.27904907,-0.08451552,-0.16473703,-0.20586024,-0.25597396,0.17533208,-0.20505126,0.2785316,-0.30823505,0.2429166,-0.2882328,0.12131184,0.08036889,0.17753698,-0.20163164,0.36029935
3703060657,COMPANY::3703060657,0.07971417,0.0746449,0.04779994,0.044501584,0.031742696,0.07372059,-0.042940494,0.060464215,-0.094627425,-0.13941652,-0.11986058,-0.0399991,-0.0116510745,-0.050237644,0.017003596,-0.043000713,-0.30797675,-0.08909684,-0.14616051,-0.19530949,-0.25968468,0.17539978,-0.20961137,0.28658244,-0.32569596,0.24727522,-0.29474163,0.12802963,0.10923457,0.1737922,-0.23555231,0.40992498
0317302232,COMPANY::0317302232,0.11536462,0.1334319,0.017202796,0.012541314,0.040084597,0.0498456,-0.07659551,0.04264677,-0.054262254,-0.15379459,-0.17657827,-0.074622735,0.03194583,0.0100559015,0.026151875,-0.050107863,-0.2886437,-0.098214895,-0.17175335,-0.2581834,-0.262677,0.15161382,-0.22531538,0.3090827,-0.29081973,0.23993655,-0.30398557,0.12722398,0.08994291,0.17206019,-0.19018742,0.3701161
0317305473,COMPANY::0317305473,0.11151807,0.120572075,0.03801483,0.041233696,0.052594196,0.07950609,-0.04970469,0.04367343,-0.0984686,-0.179668,-0.16261452,-0.066595405,0.029962176,-0.028013274,0.014896584,-0.045635555,-0.30416486,-0.073670566,-0.16560979,-0.23012663,-0.25277543,0.15519507,-0.1797693,0.29845232,-0.30325493,0.24964057,-0.2896345,0.15277411,0.10085319,0.15178876,-0.1896712,0.4014656
1702255032,COMPANY::1702255032,0.15757449,0.14943284,-0.0029315276,-0.034515146,0.07992884,0.11625886,-0.12148359,0.08637952,-0.088795014,-0.12313789,-0.08493067,-0.18934667,-0.014932544,0.035773687,-0.08223455,-0.01413065,-0.39774287,0.014369329,0.029007599,-0.3352405,-0.20114423,0.13890065,-0.14856856,0.13911174,-0.15583247,0.27876303,-0.3584932,0.1560241,0.044998083,0.26877686,-0.16432378,0.32558528
